brand,model,gauge,color,type
Alien,Black Diamond,16,Black,Polyester
Ashaway,MonoGut,17,Natural,Polyester
Ashaway,MonoGut,16L,Natural,Polyester
Babolat,RPM Blast Rough,17,Natural,Polyester
Babolat,RPM Blast Rough,16,Natural,Polyester
Babolat,RPM Blast,15L (1.35),Natural,Polyester
Babolat,RPM Blast Rough,15L,Natural,Polyester
Babolat,RPM Blast Orange,16 (1.30),Orange,Polyester
Babolat,Pro Hurricane Tour,17,Natural,Polyester
Babolat,Pro Hurricane Tour,16,Natural,Polyester
Babolat,RPM Blast,18 (1.20),Natural,Polyester
Babolat,Ballistic Polymono,16,Natural,Polyester
Babolat,Hurricane Feel,16,Natural,Polyester
Babolat,RPM Blast 17/,1.25,Natural,Polyester
Babolat,RPM Dual,16,Natural,Polyester
Babolat,RPM Blast,16,Natural,Polyester
Babolat,Hurricane Feel,17,Natural,Polyester
Babolat,RPM Team 16 Black,N/A,Black,Polyester
Babolat,Pro Hurricane,18,Natural,Polyester
Babolat,Pro Hurricane,17,Natural,Polyester
Babolat,Revenge,16,Natural,Polyester
Babolat,Revenge,17,Natural,Polyester
Babolat,Pro Hurricane,16,Natural,Polyester
Babolat,Duralast,17,Natural,Polyester
Babolat,Duralast,16,Natural,Polyester
Boris,Becker Bomber NYC,17 (1.23),Natural,Polyester
Boris,Becker Bomber NYC,16 (1.28),Natural,Polyester
Boris,Becker Bomber,16,Natural,Polyester
Boris,Becker Bomber,17,Natural,Polyester
Diadem,Elite XT,17,Natural,Polyester
Diadem,Elite XT,16,Natural,Polyester
Diadem,Solstice Power,17 (1.20),Natural,Polyester
Diadem,Solstice Power,16 (1.30),Natural,Polyester
Diadem,Solstice Power,16L (1.25),Natural,Polyester
Diadem,Solstice Pro,16L (1.25),Natural,Polyester
Diadem,Solstice Pro,15L (1.35),Natural,Polyester
Diadem,Solstice Power,15L (1.35),Natural,Polyester
Diadem,Solstice Blace,17 (1.20),Natural,Polyester
Diadem,Solstice Pro,16L (1.25),Natural,Polyester
Double AR,Diablo,-1.31,Natural,Polyester
Double AR,Diablo,-1.24,Natural,Polyester
Double AR,WTS,25 (1.25),Natural,Polyester
Double AR,Twice Dragon,-1.3,Natural,Polyester
Double AR,Twice Shark,-1.25,Natural,Polyester
Double AR,Raptor,1.27,Natural,Polyester
Dunlop,Black Widow,18 (1.21),Black,Polyester
Dunlop,Ice,16 (1.30),Natural,Polyester
Dunlop,Black Widow,17,Black,Polyester
Dunlop,Black Widow,16,Black,Polyester
Dunlop,Explosive,17 (1.26),Natural,Polyester
Dunlop,Explosive,18 (1.20),Natural,Polyester
Dunlop,Ice,17 (1.25),Natural,Polyester
Dunlop,Explosive,16,Natural,Polyester
Dunlop,Comfort Poly,17,Natural,Polyester
Dunlop,Juice,17 (1.26),Natural,Polyester
